,name,year,selling_price,km_driven,fuel,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats
1145,Maruti Vitara Brezza,2017,780000,40000,Diesel,Manual,First ,24,1248,88.5,5
1146,Mahindra Bolero 2011-2019,2013,467000,157000,Diesel,Manual,First ,15,2523,62.1,7
1147,Mahindra Scorpio S10,2015,1050000,90000,Diesel,Manual,First ,15,2179,120,7
1148,Hyundai i10 Magna,2011,225000,80000,Petrol,Manual,Second ,19,1086,68.05,5
1149,Mahindra Verito 1.5,2012,260000,70000,Diesel,Manual,Second ,21,1461,65,5
1150,Chevrolet Spark 1.0,2009,90000,50000,Petrol,Manual,Second ,16,995,63,5
1151,Ford Figo Diesel,2012,280000,60000,Diesel,Manual,First ,20,1399,68,5
1152,Mahindra Verito 1.5,2014,350000,106000,Diesel,Manual,Second ,20,1461,65,5
1153,Mahindra Scorpio 2.6,2006,229999,80000,Diesel,Manual,Second ,10,2179,120,7
1154,Mahindra Bolero 2011-2019,2016,550000,80000,Diesel,Manual,Second ,15,2523,63,9
1155,Toyota Innova 2.5,2013,850000,110000,Diesel,Manual,Second ,12,2494,100,8
1156,Mahindra Bolero DI,2011,370000,120000,Diesel,Manual,Third ,13,2523,63,7
1157,Maruti Alto K10,2013,250000,27000,Petrol,Manual,First ,20,998,67.1,5
1158,Maruti Alto LXi,2007,95000,70000,Petrol,Manual,Second ,19,796,46.3,5
1159,Maruti Wagon R,2010,180000,70000,Petrol,Manual,Second ,18,1061,67,5
1160,Mahindra NuvoSport N8,2016,650000,50000,Diesel,Automatic,First ,17,1493,100,7
1161,Hyundai Xcent 1.2,2018,530000,60000,Diesel,Manual,First ,25,1186,73.97,5
1162,Maruti Swift VVT,2017,610000,15000,Petrol,Manual,First ,22,1197,81.8,5
1163,Mahindra Xylo E4,2010,265000,135000,Diesel,Manual,First ,14,2498,112,8
1164,Tata Tiago 1.2,2018,560000,26300,Petrol,Manual,First ,23,1199,84,5
1165,Mahindra Bolero 2011-2019,2014,430000,120000,Diesel,Manual,First ,15,2523,62.1,7
1166,Maruti Swift Dzire,2017,711000,35000,Diesel,Manual,First ,28,1248,74.02,5
1167,Maruti Swift Dzire,2015,511000,30000,Petrol,Manual,First ,20,1197,83.14,5
1168,Mahindra Bolero 2011-2019,2012,450000,165000,Diesel,Manual,First ,15,2523,62.1,7
1169,Tata Zest Revotron,2015,325000,50000,Petrol,Manual,First ,17,1193,88.7,5
1170,Renault Scala Diesel,2013,434999,120000,Diesel,Manual,First ,21,1461,84.8,5
1171,Ford Figo Diesel,2010,210000,100000,Diesel,Manual,Second ,20,1399,68,5
1172,Maruti SX4 Vxi,2007,160000,120000,Petrol,Manual,Second ,15,1586,104.68,5
1173,Maruti Ertiga VXI,2017,650000,70000,Petrol,Manual,Second ,17,1373,91.1,7
1174,Hyundai i20 Sportz,2014,320000,72000,Petrol,Manual,First ,18,1197,81.83,5
1175,Renault KWID Climber,2017,290000,50000,Petrol,Manual,First ,23,999,67,5
1176,Tata Nano CX,2013,80000,30000,Petrol,Manual,First ,25,624,37.48,4
1177,Tata Safari Storme,2017,1100000,20000,Diesel,Manual,First ,14,2179,147.94,7
1178,Maruti Ciaz ZDi,2015,600000,110000,Diesel,Manual,First ,26,1248,88.5,5
1179,Renault KWID RXT,2017,340000,25000,Petrol,Manual,First ,25,799,53.3,5
1180,Toyota Innova 2.5,2014,750000,120000,Diesel,Manual,First ,12,2494,100.6,7
1181,Maruti Alto LX,2006,100000,40000,Petrol,Manual,First ,19,796,46.3,5
1182,Renault KWID RXT,2019,395000,10000,Petrol,Manual,First ,25,799,53.3,5
1183,Maruti Wagon R,2010,200000,65000,Petrol,Manual,First ,18,1061,67,5
1184,Maruti Eeco CNG,2019,450000,10000,CNG,Manual,First ,21,1196,61.7,5
1185,Mahindra Verito 1.4,2012,180000,110000,Petrol,Manual,Second ,13,1390,75,5
1186,Mahindra Bolero DI,2008,190000,120000,Diesel,Manual,Second ,13,2523,63,7
1187,Maruti Eeco 5,2015,310000,72000,Petrol,Manual,First ,15,1196,73,5
1188,Maruti Ritz VDi,2014,351000,89100,Diesel,Manual,Second ,23,1248,73.94,5
1189,Chevrolet Optra 1.6,2006,190000,94000,Petrol,Manual,Second ,17,1599,104,5
1190,Hyundai EON Magna,2015,225000,120000,Petrol,Manual,Second ,21,814,55.2,5
1191,Chevrolet Spark 1.0,2012,130000,110000,Petrol,Manual,First ,16,995,62.1,5
1192,Maruti Ciaz Alpha,2018,1000000,50000,Diesel,Manual,First ,28,1248,88.5,5
1193,Tata Indica V2,2004,55000,90000,Diesel,Manual,Third ,16,1405,62,5
1194,Chevrolet Sail 1.2,2014,330000,23000,Petrol,Manual,First ,18,1199,82.4,5
1195,Maruti Omni MPI,2013,166000,50000,Petrol,Manual,First ,16,796,34.2,5
1196,Mahindra Xylo D4,2013,200000,300000,Diesel,Manual,First ,14,2498,112,8
1197,Maruti Alto K10,2011,140000,50000,Petrol,Manual,Third ,20,998,67.1,5
1198,Maruti Eeco CNG,2017,370000,140000,CNG,Manual,First ,21,1196,61.7,5
1199,Hyundai Elite i20,2019,720000,16000,Petrol,Automatic,First ,17,1197,81.86,5
1200,Hyundai i20 Active,2015,500000,126000,Diesel,Manual,First ,21,1396,88.73,5
1201,Hyundai Xcent 1.2,2019,570000,15000,Petrol,Manual,First ,20,1197,81.86,5
1202,Maruti Swift Dzire,2010,210000,200000,Petrol,Manual,First ,17,1197,85.8,5
1203,Maruti Alto LXi,2009,120000,120000,Petrol,Manual,First ,19,796,46.3,5
1204,Hyundai Getz GLX,2005,95000,120000,Petrol,Manual,Fourth & Above ,15,1341,83,5
1205,Hyundai i10 Sportz,2010,196000,110000,Petrol,Automatic,Third ,16,1197,78.9,5
1206,Maruti Eeco 5,2016,392000,38000,Petrol,Manual,First ,15,1196,73,5
1207,Tata Manza Aura,2010,150000,104000,Petrol,Manual,First ,15,1368,90,5
1208,Honda BR-V i-VTEC,2017,595000,120000,Petrol,Manual,First ,15,1497,117.3,7
1209,Maruti Vitara Brezza,2018,833000,35000,Diesel,Automatic,First ,24,1248,88.5,5
1210,Maruti Swift VDI,2011,280000,210000,Diesel,Manual,First ,22,1248,74,5
1211,Maruti 800 Std,2003,35000,35000,Petrol,Manual,Second ,16,796,37,4
1212,Maruti Ritz VDi,2009,180000,85000,Diesel,Manual,Third ,21,1248,73.9,5
1213,Maruti Wagon R,2012,225000,80000,Petrol,Manual,First ,18,998,67.1,5
1214,Mercedes-Benz New C-Class,2012,1400000,50000,Diesel,Automatic,First ,14,2143,170,5
1215,Hyundai i20 Era,2009,340000,40000,Diesel,Manual,First ,23,1396,90,5
1216,Toyota Innova 2.5,2010,550000,216000,Diesel,Manual,First ,12,2494,102,8
1217,Maruti Wagon R,2017,400000,65000,Petrol,Manual,Second ,20,998,67.04,5
1218,Hyundai Getz GLE,2006,90000,100000,Petrol,Manual,Third ,15,1341,83,5
1219,Maruti Ciaz VDi,2015,650000,84000,Diesel,Manual,First ,28,1248,88.5,5
1220,Toyota Innova 2.5,2012,730000,210000,Diesel,Manual,First ,12,2494,100,7
1221,Chevrolet Aveo U-VA,2010,125000,60000,Petrol,Manual,First ,15,1150,74.9,5
1222,Hyundai Getz GLE,2006,81000,100000,Petrol,Manual,Fourth & Above ,15,1341,83,5
1223,Maruti Swift Glam,2007,170000,78000,Petrol,Manual,Second ,16,1298,88.2,5
1224,Honda City 1.5,2002,81000,161000,Petrol,Manual,Fourth & Above ,13,1493,100,5
1225,Maruti Alto LX,2005,95000,70000,Petrol,Manual,Third ,19,796,46.3,5
1226,Tata Nano Cx,2010,55000,50000,Petrol,Manual,Third ,26,624,35,4
1227,Renault Lodgy World,2017,880000,65000,Diesel,Manual,First ,19,1461,108.5,8
1228,Renault KWID RXL,2015,200000,50000,Petrol,Manual,First ,25,799,53.3,5
1229,Maruti Wagon R,2019,480000,25000,Petrol,Manual,First ,20,1197,81.8,5
1230,Mahindra Bolero 2011-2019,2013,480000,100000,Diesel,Manual,First ,15,2523,62.1,9
1231,Hyundai i20 1.2,2018,700000,6000,Petrol,Manual,First ,18,1197,81.83,5
1232,Honda BRV i-DTEC,2016,850000,72113,Diesel,Manual,First ,21,1498,98.6,7
1233,Tata Indigo CR4,2012,300000,40000,Diesel,Manual,First ,23,1396,70,5
1234,Hyundai i20 1.2,2017,650000,8000,Petrol,Manual,First ,18,1197,81.83,5
1235,Maruti Ritz VXI,2010,220000,20000,Petrol,Manual,First ,21,1197,85.8,5
1236,Tata Indigo CS,2014,300000,45000,Diesel,Manual,First ,19,1405,69.01,5
1237,Maruti Swift Dzire,2014,450000,80000,Diesel,Manual,First ,23,1248,74,5
1238,Maruti Swift VDI,2014,400000,90000,Diesel,Manual,First ,25,1248,74,5
1239,Maruti S-Cross 2017-2020,2018,1030000,25000,Diesel,Manual,First ,25,1248,88.5,5
1240,Tata Manza Aura,2010,190000,100000,Diesel,Manual,Second ,18,1248,90,5
1241,Ford Fiesta 1.4,2006,140000,60000,Petrol,Manual,Second ,16,1388,68,5
1242,Hyundai i20 Active,2018,800000,30000,Diesel,Manual,First ,21,1396,88.76,5
1243,Mahindra Scorpio LX,2007,229999,120000,Diesel,Manual,Third ,10,2609,120,7
1244,Tata Safari DICOR,2011,300000,80000,Diesel,Manual,Second ,13,2179,138.03,7
1245,Volkswagen Vento Diesel,2011,375000,69000,Diesel,Manual,Second ,20,1598,103.6,5
1246,Chevrolet Beat LT,2010,140000,75000,Petrol,Manual,First ,18,1199,79.4,5
1247,Maruti Alto LX,2004,60000,113000,Petrol,Manual,Second ,19,796,46.3,5
1248,Hyundai Xcent 1.1,2014,420000,90000,Diesel,Manual,Second ,24,1120,71.01,5
1249,Renault Pulse RxZ,2012,300000,100000,Diesel,Manual,Third ,23,1461,63.12,5
1250,Tata Indica Vista,2012,150000,110000,Diesel,Manual,First ,22,1248,74,5
1251,Ford EcoSport 1.5,2015,600000,90000,Diesel,Manual,First ,22,1498,98.59,5
1252,Ford Figo Diesel,2011,204999,100000,Diesel,Manual,Second ,20,1399,68,5
1253,Hyundai Xcent 1.2,2017,625000,50000,Diesel,Manual,First ,25,1186,73.97,5
1254,Fiat Grande Punto,2011,280000,200000,Diesel,Manual,First ,20,1248,91.7,5
1255,Hyundai Santa Fe,2014,1050000,146000,Diesel,Automatic,Second ,13,2199,194.3,7
1256,Chevrolet Optra Magnum,2009,250000,80000,Petrol,Manual,Second ,12,1598,102.5,5
1257,Tata New Safari,2010,535000,96443,Diesel,Manual,Second ,11,2179,138.1,7
1258,Honda Accord 2.4,2009,400000,100000,Petrol,Automatic,Second ,11,2354,177.6,5
1259,Maruti Swift AMT,2019,610000,10000,Petrol,Automatic,First ,21,1197,81.8,5
1260,Maruti Swift Dzire,2014,509999,110000,Diesel,Manual,First ,23,1248,74,5
1261,Tata Safari Storme,2014,521000,86000,Diesel,Manual,Second ,14,2179,138.1,7
1262,Maruti Swift Dzire,2014,511000,100000,Diesel,Manual,First ,23,1248,74,5
1263,Hyundai i20 Sportz,2014,451000,91000,Diesel,Manual,First ,22,1396,88.73,5
1264,Hyundai i10 Sportz,2009,170000,100000,Petrol,Manual,First ,20,1197,78.9,5
1265,Maruti Swift Dzire,2013,450000,120000,Diesel,Manual,Second ,23,1248,74,5
1266,Honda City 1.5,2011,375000,90000,Petrol,Manual,Second ,17,1497,118,5
1267,Maruti Alto 800,2016,305000,60000,Petrol,Manual,Second ,22,796,47.3,5
1268,Renault KWID RXT,2016,315000,51500,Petrol,Manual,First ,25,799,53.3,5
1269,Chevrolet Sail 1.3,2016,250000,60000,Diesel,Manual,Second ,22,1248,74,5
1270,Ford Figo Diesel,2012,200000,104500,Diesel,Manual,Second ,20,1399,68,5
1271,Ford EcoSport 1.5,2018,950000,30000,Diesel,Manual,First ,23,1498,98.96,5
1272,Renault Duster 110PS,2012,400000,120000,Diesel,Manual,Third ,19,1461,108.45,5
1273,Maruti Swift ZDi,2014,509999,100000,Diesel,Manual,Second ,22,1248,74,5
1274,Honda Civic 1.8,2008,375000,90000,Petrol,Manual,Third ,13,1799,130,5
1275,Maruti Wagon R,2005,150000,150000,Petrol,Manual,Third ,18,998,67.1,5
1276,Maruti Wagon R,2006,75000,60000,Petrol,Automatic,First ,18,998,67.1,5
1277,Hyundai Verna 1.4,2015,465000,50000,Petrol,Manual,Second ,17,1396,105.5,5
1278,Hyundai Grand i10,2019,700000,10000,Diesel,Manual,First ,24,1186,73.97,5
1279,Mahindra Scorpio 1.99,2015,950000,120000,Diesel,Manual,Third ,15,1997,120,7
1280,Hyundai i20 1.2,2017,610000,40000,Petrol,Manual,First ,18,1197,81.83,5
1281,Maruti Alto 800,2014,235000,50000,Petrol,Manual,First ,22,796,47.3,5
1282,Maruti Eeco 5,2017,330000,90000,Petrol,Manual,First ,15,1196,73,5
1283,Nissan Terrano XE,2014,472000,90000,Diesel,Manual,First ,20,1461,83.8,5
1284,Maruti Swift VXI,2019,585000,10000,Petrol,Manual,First ,21,1197,81.8,5
1285,Mahindra Supro LX,2018,500000,10000,Diesel,Manual,First ,23,909,45,8
1286,Maruti Alto K10,2019,360000,27000,Petrol,Manual,First ,23,998,67.05,5
1287,Maruti Swift Dzire,2016,649000,70000,Diesel,Manual,First ,26,1248,74,5
1288,Maruti Omni MPI,2017,200000,50000,Petrol,Manual,First ,16,796,34.2,5
1289,Hyundai Grand i10,2014,400000,110000,Diesel,Manual,First ,24,1120,70,5
1290,Maruti Celerio VDi,2015,250000,100000,Diesel,Manual,Second ,27,793,47,5
1291,Mahindra Marazzo M6,2018,1200000,50000,Diesel,Manual,First ,17,1497,121,7
1292,Maruti Swift Vdi,2009,250000,105000,Diesel,Manual,Second ,17,1248,75,5
1293,Toyota Innova 2.5,2013,819999,110000,Diesel,Manual,First ,12,2494,100.6,8
1294,Mahindra XUV500 W8,2014,800000,60000,Diesel,Manual,Second ,15,2179,140,7
1295,Ford Ecosport 1.0,2013,429000,49102,Petrol,Manual,Second ,18,999,123.37,5
1296,Hyundai Santro Xing,2010,150000,60000,Petrol,Manual,Third ,17,1086,62.1,5
1297,Chevrolet Beat Diesel,2012,170000,90000,Diesel,Manual,First ,25,936,57.6,5
1298,Honda Brio Exclusive,2014,335000,33033,Petrol,Manual,First ,19,1198,86.8,5
1299,Hyundai Grand i10,2015,465000,63063,Petrol,Automatic,First ,18,1197,82,5
1300,Renault Duster 110PS,2013,360000,81000,Diesel,Manual,Second ,19,1461,108.45,5
1301,Hyundai Xcent 1.2,2018,570000,80000,Diesel,Manual,First ,25,1186,73.97,5
1302,Renault Duster 110PS,2012,350000,105000,Diesel,Manual,Second ,19,1461,108.45,5
1303,Maruti Ertiga BSIV,2017,700000,227000,Petrol,Manual,First ,17,1373,91.1,7
1304,Renault Duster 110PS,2012,375000,100000,Diesel,Manual,Second ,19,1461,108.45,5
1305,Maruti Eeco CNG,2019,450000,60000,CNG,Manual,First ,21,1196,61.7,5
1306,Hyundai i20 Magna,2013,325000,70000,Diesel,Manual,Third ,21,1396,88.76,5
1307,Volkswagen Vento Diesel,2011,260000,120000,Diesel,Manual,Third ,20,1598,103.6,5
1308,Maruti Alto LXi,2009,130000,80000,Petrol,Manual,Third ,19,796,46.3,5
1309,Tata New Safari,2008,150000,120000,Diesel,Manual,Fourth & Above ,11,2179,138.1,7
1310,Hyundai Santro Xing,2014,220000,40000,Petrol,Manual,First ,17,1086,62.1,5
1311,Hyundai i10 Magna,2014,275000,53000,Petrol,Manual,First ,20,1197,78.9,5
1312,Maruti Swift LDI,2017,455000,60000,Diesel,Manual,First ,25,1248,74,5
1313,Hyundai i20 1.2,2017,570000,30000,Petrol,Manual,First ,18,1197,81.83,5
1314,Volkswagen Vento Diesel,2013,330000,100000,Diesel,Manual,Third ,20,1598,103.6,5
1315,Toyota Innova Crysta,2018,1576000,70000,Diesel,Manual,First ,13,2393,147.8,7
1316,Maruti Ertiga ZDI,2012,450000,98000,Diesel,Manual,Fourth & Above ,20,1248,88.8,7
1317,Hyundai EON Magna,2014,250000,60000,Petrol,Manual,First ,21,814,55.2,5
1318,Hyundai i10 Sportz,2010,165000,80000,Petrol,Manual,Third ,20,1197,78.9,5
1319,Mahindra Ssangyong Rexton,2013,800000,117000,Diesel,Automatic,First ,11,2696,184,7
1320,Honda Jazz 1.2,2018,680000,8576,Petrol,Manual,First ,18,1199,88.7,5
1321,Tata Tigor 1.2,2017,525000,19723,Petrol,Automatic,First ,20,1199,84,5
1322,Honda City 1.5,2016,825000,21446,Petrol,Manual,First ,16,1497,116.3,5
1323,Maruti S-Cross 2017-2020,2017,750000,52289,Diesel,Manual,First ,25,1248,88.5,5
1324,Mahindra Scorpio S4,2017,950000,52236,Diesel,Manual,First ,15,2179,120,7
1325,Mahindra Scorpio S4,2017,950000,54470,Diesel,Manual,First ,15,2179,120,7
1326,Hyundai i20 1.4,2017,675000,25471,Diesel,Manual,First ,21,1396,90,5
1327,Tata Tiago XT,2019,490000,33928,Petrol,Manual,First ,23,1199,84.48,5
1328,Mahindra TUV 300,2018,775000,59736,Diesel,Manual,First ,18,1493,100,7
1329,Honda City 1.5,2009,350000,54290,Petrol,Manual,First ,17,1497,118,5
1330,Honda Brio S,2016,475000,2118,Petrol,Manual,First ,19,1198,86.8,5
1331,Mahindra Scorpio S4,2017,950000,61379,Diesel,Manual,First ,15,2179,120,7
1332,Honda City i-VTEC,2010,350000,58544,Petrol,Manual,Second ,17,1497,117.3,5
1333,Maruti Wagon R,2016,400000,74381,Petrol,Manual,First ,21,998,67.05,5
1334,Maruti 800 DX,2001,75000,35000,Petrol,Manual,Third ,16,796,37,4
1335,Ford Ecosport 1.5,2017,850000,63982,Diesel,Manual,First ,22,1498,89.84,5
1336,Maruti Wagon R,2008,175000,65000,Petrol,Manual,Second ,18,998,67.1,5
1337,Mahindra Bolero 2011-2019,2014,570000,74000,Diesel,Manual,First ,15,2523,62.1,7
1338,Renault Duster 110PS,2013,525000,56429,Diesel,Manual,Second ,19,1461,108.45,5
1339,Hyundai i10 Magna,2012,270000,56000,Petrol,Manual,First ,20,1197,78.9,5
1340,Hyundai Santro Magna,2019,434999,19500,Petrol,Manual,First ,20,1086,68.07,5
1341,Hyundai i20 Asta,2015,495000,30000,Petrol,Manual,First ,18,1197,81.83,5
1342,Hyundai i20 Asta,2016,575000,53000,Diesel,Manual,First ,22,1396,88.73,5
1343,Hyundai Xcent 1.2,2017,600000,5000,Petrol,Manual,First ,20,1197,81.86,5
1344,Hyundai Verna 1.6,2015,700000,25000,Petrol,Manual,First ,17,1591,121.4,5
1345,Honda City i,2014,560000,72000,Diesel,Manual,First ,26,1498,98.6,5
1346,Mahindra Bolero DI,2005,250000,80000,Diesel,Manual,First ,13,2523,63,7
1347,Skoda Rapid 1.6,2013,409999,29000,Petrol,Manual,Second ,15,1598,103.5,5
1348,Nissan Terrano XL,2016,495000,56832,Diesel,Manual,First ,19,1461,83.14,5
1349,Hyundai Elite i20,2014,470000,30528,Petrol,Manual,First ,18,1197,81.86,5
1350,Honda Amaze S,2013,350000,65285,Diesel,Manual,First ,24,1498,98.63,5
1351,Toyota Innova Crysta,2020,1560000,20102,Diesel,Manual,First ,13,2393,147.51,8
1352,Honda Jazz 1.2,2015,480000,43000,Petrol,Manual,First ,18,1199,88.7,5
1353,Toyota Etios Liva,2013,270000,52380,Diesel,Manual,First ,23,1364,67.04,5
1354,Mahindra Bolero B2,2018,660000,74250,Diesel,Manual,First ,21,1498,74.96,7
1355,Maruti Ignis 1.2,2017,490000,57247,Petrol,Automatic,First ,20,1197,81.8,5
1356,Maruti Vitara Brezza,2017,800000,52000,Diesel,Manual,First ,24,1248,88.5,5
1357,Nissan Sunny XV,2011,350000,47000,Petrol,Manual,Second ,16,1498,97.7,5
1358,Ford Fiesta EXi,2011,170000,80000,Diesel,Manual,Third ,17,1399,68,5
1359,Tata Indica Vista,2011,125000,85000,Diesel,Manual,Second ,18,1248,75,5
1360,Maruti Swift Dzire,2012,400000,100000,Diesel,Manual,First ,19,1248,73.9,5
1361,Nissan Sunny XV,2011,250000,110000,Petrol,Manual,First ,16,1498,97.7,5
1362,Fiat Linea Emotion,2010,190000,178000,Diesel,Manual,Second ,20,1248,91.7,5
1363,Maruti Alto LX,2010,125000,120000,Petrol,Manual,Third ,19,796,46.3,5
1364,Jeep Compass 2.0,2017,1950000,70000,Diesel,Manual,First ,16,1956,170,5
1365,Audi Q5 2.0,2011,1300000,120000,Diesel,Automatic,First ,12,1968,167.6,5
1366,Toyota Innova 2.5,2010,786000,155000,Diesel,Manual,Third ,12,2494,102,8
1367,Maruti Wagon R,2015,335000,30000,Petrol,Manual,First ,20,998,67.04,5
1368,Maruti Wagon R,2009,114999,60000,Petrol,Manual,Third ,18,1061,67,5
1369,Volkswagen Polo Diesel,2012,229999,70000,Diesel,Manual,Fourth & Above ,22,1199,73.9,5
1370,Hyundai i20 2015-2017,2017,731000,40000,Diesel,Manual,First ,22,1396,88.73,5
1371,Hyundai Verna 1.6,2012,395000,120000,Diesel,Manual,First ,22,1582,126.32,5
1372,Maruti Swift Dzire,2015,500000,120000,Diesel,Manual,First ,26,1248,74,5
1373,Hyundai EON Era,2014,220000,50000,Petrol,Manual,Third ,21,814,55.2,5
1374,Ford Figo Diesel,2013,240000,100000,Diesel,Manual,First ,20,1399,68.1,5
1375,Hyundai i20 1.4,2010,215000,120000,Diesel,Manual,Third ,23,1396,90,5
1376,Maruti Swift VDI,2012,400000,90000,Diesel,Manual,Second ,22,1248,74,5
1377,Maruti Zen Estilo,2012,191000,90000,Petrol,Manual,First ,19,998,67.1,5
1378,Mahindra Xylo D4,2013,351000,100000,Diesel,Manual,Second ,14,2498,112,8
1379,Tata Nano XTA,2015,250000,20000,Petrol,Automatic,First ,21,624,37.48,4
1380,Hyundai Verna CRDi,2009,210000,90000,Diesel,Manual,Second ,18,1493,110,5
1381,Toyota Etios VX,2011,300000,120000,Petrol,Manual,Third ,17,1496,88.7,5
1382,Ford Figo Aspire,2017,700000,35000,Diesel,Manual,First ,25,1498,99,5
1383,Hyundai Sonata CRDi,2010,500000,120000,Diesel,Manual,Second ,11,1991,150,5
1384,Maruti 800 AC,2002,120000,120000,Petrol,Manual,First ,16,796,37,4
1385,Hyundai Elite i20,2019,850000,10000,Diesel,Manual,First ,22,1396,88.76,5
1386,Honda WR-V i-DTEC,2017,770000,65000,Diesel,Manual,Second ,25,1498,98.6,5
1387,Honda Civic 1.8,2007,245000,90000,Petrol,Manual,Third ,13,1799,130,5
1388,Maruti Alto K10,2012,250000,90000,Petrol,Manual,First ,20,998,67.1,5
1389,Hyundai i20 Active,2016,651000,42323,Diesel,Manual,First ,21,1396,88.76,5
1390,Honda City V,2013,480000,42462,Petrol,Manual,First ,16,1497,116.3,5
1391,Maruti Swift VDI,2015,470000,54723,Diesel,Manual,First ,25,1248,74,5
1392,Honda Jazz 1.5,2016,500000,30000,Diesel,Manual,First ,27,1498,98.6,5
1393,BMW X1 sDrive20d,2011,1075000,42545,Diesel,Automatic,First ,19,1998,190,5
1394,Maruti S-Cross 2017-2020,2016,690000,32000,Diesel,Manual,First ,25,1248,88.5,5
1395,Maruti Ignis 1.2,2018,480000,20375,Petrol,Manual,First ,20,1197,81.8,5
1396,Maruti Swift ZDI,2013,450000,43978,Diesel,Manual,Second ,28,1248,74,5
1397,Maruti Vitara Brezza,2018,770000,50000,Diesel,Manual,First ,24,1248,88.5,5
1398,Mahindra Bolero B4,2015,445000,40200,Diesel,Manual,First ,21,1498,74.96,7
1399,Hyundai i20 1.2,2018,700000,30000,Petrol,Manual,First ,18,1197,81.83,5
1400,Maruti Ertiga ZDI,2014,560000,90000,Diesel,Manual,First ,20,1248,88.8,7
1401,Ford Ecosport Sports,2013,475000,48000,Diesel,Manual,Second ,21,1498,98.96,5
1402,Honda Amaze E,2014,465000,27233,Diesel,Manual,First ,27,1498,98.63,5
1403,Maruti Swift Dzire,2017,520000,28832,Diesel,Manual,First ,23,1248,74,5
1404,Tata Manza Aura,2011,225000,35000,Petrol,Manual,First ,15,1368,90,5
1405,Maruti Ertiga ZXI,2015,700000,35000,Petrol,Manual,First ,16,1373,93.7,7
1406,Maruti Vitara Brezza,2017,780000,40000,Diesel,Manual,First ,24,1248,88.5,5
1407,Honda City 2017-2020,2006,93150,80000,Petrol,Manual,Second ,17,1497,78,5
1408,Mahindra Quanto C4,2016,403000,30000,Diesel,Manual,Second ,17,1493,100,7
1409,Hyundai i10 Era,2009,229999,50000,Petrol,Manual,Second ,19,1086,68.05,5
1410,Maruti Swift Dzire,2016,525000,40000,Diesel,Manual,Second ,26,1248,74,5
1411,Maruti Ertiga VXI,2014,560000,25000,Petrol,Manual,First ,16,1373,93.7,7
1412,Mahindra XUV500 W7,2020,830000,120000,Diesel,Manual,First ,15,2179,152.87,7
1413,Maruti Ritz VDi,2011,250000,60000,Diesel,Manual,Second ,21,1248,73.9,5
1414,Mahindra Bolero 2011-2019,2014,450000,110000,Diesel,Manual,First ,15,2523,63,9
1415,Mahindra Scorpio 1.99,2016,745000,67000,Diesel,Manual,First ,15,1997,120,7
1416,Ford Figo Diesel,2010,144000,50000,Diesel,Manual,Second ,20,1399,68,5
1417,Maruti Zen Estilo,2008,120000,40000,Petrol,Manual,First ,18,1061,64,5
1418,Tata New Safari,2008,300000,120000,Diesel,Manual,Second ,11,2179,138.1,7
1419,Maruti 800 DX,1999,52000,100000,Petrol,Manual,First ,16,796,37,4
1420,Mahindra Scorpio 2.6,2003,300000,98000,Diesel,Manual,First ,10,2179,120,8
1421,Mahindra Bolero DI,2009,270000,150000,Diesel,Manual,Second ,13,2523,63,7
1422,Chevrolet Sail LT,2014,260000,38000,Diesel,Manual,First ,22,1248,74,5
1423,Toyota Etios GD,2015,475000,120000,Diesel,Manual,First ,23,1364,67.05,5
1424,Ford Figo Diesel,2011,302000,103000,Diesel,Manual,Third ,20,1399,68,5
1425,Maruti 800 AC,1994,45000,60000,Petrol,Manual,First ,16,796,37,4
1426,Maruti Vitara Brezza,2017,775000,80000,Diesel,Manual,First ,24,1248,88.5,5
1427,Maruti Ertiga VDI,2015,700000,50000,Diesel,Manual,First ,20,1248,88.76,7
1428,Maruti Swift VDI,2014,530000,90000,Diesel,Manual,First ,25,1248,74,5
1429,Tata Nexon 1.5,2017,869999,70000,Diesel,Manual,First ,21,1497,108.5,5
1430,Hyundai Elantra CRDi,2006,155000,110000,Diesel,Manual,Fourth & Above ,14,1991,112.2,5
1431,Tata Tiago 1.2,2019,550000,30000,Petrol,Automatic,First ,23,1199,83.83,5
1432,Maruti Swift Dzire,2016,600000,80000,Diesel,Manual,Second ,26,1248,74,5
1433,Maruti Swift Dzire,2012,430000,110000,Diesel,Manual,Second ,19,1248,73.9,5
1434,Tata Manza Aura,2010,246000,120000,Diesel,Manual,First ,18,1248,90,5
1435,Maruti Zen VXi,2003,120000,120000,Petrol,Manual,Third ,17,993,60,5
1436,Hyundai i20 Asta,2014,565000,70000,Petrol,Manual,Second ,18,1197,81.83,5
1437,Hyundai Elite i20,2018,850000,60000,Diesel,Manual,First ,22,1396,88.76,5
1438,Maruti Alto LXi,2006,160000,90000,Petrol,Manual,First ,19,796,46.3,5
1439,Fiat Linea Classic,2014,325000,142500,Diesel,Manual,First ,19,1248,75,5
1440,Mahindra Scorpio VLX,2011,450000,90000,Diesel,Manual,Third ,12,2179,120,8
1441,Hyundai i10 Sportz,2015,310000,50000,Petrol,Manual,First ,19,1086,68.05,5
1442,Honda Amaze S,2013,250000,90000,Diesel,Manual,Third ,25,1498,98.6,5
1443,Maruti Swift Dzire,2015,420000,115000,Diesel,Manual,Second ,26,1248,74,5
